PROBE_DESIGN_ID	HITS_OREO_ILLUMINA
572981_0358_0488	1
572981_0015_0065	1
572981_0450_0444	1
572981_0441_0137	1
572981_0278_0046	2
572981_0094_0580	2
572981_0035_0607	1
572981_0359_0609	1
572981_0083_0529	1
572981_0322_0064	1
572981_0173_0027	1
572981_0118_0286	1
572981_0019_0603	1
572981_0241_0403	1
572981_0256_0262	1
572981_0282_0164	1
572981_0337_0383	1
572981_0417_0397	1
572981_0007_0105	1
572981_0277_0293	1
572981_0084_0488	1
572981_0250_0286	1
572981_0313_0207	1
572981_0128_0046	1
572981_0222_0444	1
572981_0301_0561	1
572981_0327_0245	1
572981_0008_0346	1
572981_0228_0182	1
572981_0425_0209	1
572981_0393_0527	1
572981_0306_0186	1
572981_0182_0190	1
572981_0203_0117	1
572981_0427_0215	1
572981_0263_0295	1
572981_0431_0437	1
572981_0345_0209	1
572981_0051_0277	1
572981_0458_0358	1
572981_0307_0263	1
572981_0101_0501	1
572981_0203_0459	1
572981_0126_0584	1
572981_0404_0566	1
572981_0146_0318	1
572981_0158_0344	1
572981_0340_0134	1
572981_0380_0020	1
572981_0216_0012	1
572981_0404_0500	1
572981_0377_0107	1
572981_0071_0041	1
572981_0351_0383	1
572981_0171_0557	1
572981_0159_0587	1
572981_0253_0233	1
572981_0230_0208	1
572981_0454_0620	1
572981_0417_0355	1
572981_0393_0005	1
572981_0293_0475	1
572981_0120_0582	1
572981_0421_0133	1
572981_0096_0498	1
572981_0292_0406	1
572981_0053_0167	1
572981_0325_0343	1
572981_0428_0478	1
572981_0243_0057	1
572981_0106_0110	1
572981_0142_0044	1
572981_0438_0212	1
572981_0115_0497	1
572981_0042_0118	1
572981_0430_0152	1
572981_0150_0498	1
572981_0272_0058	1
572981_0038_0288	1
572981_0384_0236	1
572981_0230_0056	1
572981_0143_0299	1
572981_0430_0254	1
572981_0422_0490	1
572981_0259_0543	1
572981_0232_0062	1
572981_0448_0224	1
572981_0032_0626	1
572981_0255_0385	1
572981_0301_0459	1
